500 	 7 
1000 	 24 
1500 	 51 
2000 	 91 
2500 	 142 
3000 	 205 
3500 	 303 
4000 	 374 
4500 	 469 
5000 	 580 
5500 	 697 
6000 	 830 
6500 	 973 
7000 	 1131 
7500 	 1297 
8000 	 1476 
8500 	 1668 
9000 	 1867 
9500 	 2083 
10000 	 2309 
